team_name,start_time,end_time,prize_category,sponsor_name,location
Test201,Sun Oct 22 2023 12:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:05:00 GMT-0400 (Eastern Daylight Time),Best AI Powered Solution,Bloomberg Industry Group,1
Test201,Sun Oct 22 2023 12:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:10:00 GMT-0400 (Eastern Daylight Time),Best Financial Hack,Capital One,1
Test201,Sun Oct 22 2023 12:10:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:15:00 GMT-0400 (Eastern Daylight Time),Best Education Hack,Technica,1
Test206,Sun Oct 22 2023 12:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:05:00 GMT-0400 (Eastern Daylight Time),Best AI Powered Solution,Bloomberg Industry Group,2
Test206,Sun Oct 22 2023 12:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:10:00 GMT-0400 (Eastern Daylight Time),Best Financial Hack,Capital One,2
Test206,Sun Oct 22 2023 12:10:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:15:00 GMT-0400 (Eastern Daylight Time),Best Education Hack,Technica,2
Test211,Sun Oct 22 2023 12:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:05:00 GMT-0400 (Eastern Daylight Time),Best Use of FinTech,T. Rowe Price,3
Test211,Sun Oct 22 2023 12:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:10:00 GMT-0400 (Eastern Daylight Time),Best Hack for Sustainability,Optiver,3
Test221,Sun Oct 22 2023 12:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:05:00 GMT-0400 (Eastern Daylight Time),Climate Change Sentiment Analysis and Impacts on Housing,Fannie Mae,4
Test221,Sun Oct 22 2023 12:05:00 GMT-0400 (Eastern Daylight Time),Sun Oct 22 2023 12:10:00 GMT-0400 (Eastern Daylight Time),Most “Ever Vigilant” Hack Against Spyware,CACI International,4
